Certifications,Department,Employee ID,Employee Type,Job Role,Leaving Status,Manager Name,Skills,Training History
"Certified Information Systems Security Professional (CISSP), CompTIA A+, CompTIA Network+, Cisco Certified Network Associate (CCNA), CompTIA Security+, Cisco Certified Network Professional (CCNP)",Engineering,3737,Intern,Software Engineer,On Leave,Phyllis Ward,['Git'],['SQL Mastery']
"Certified Information Systems Security Professional (CISSP), CompTIA A+, CompTIA Network+, Cisco Certified Network Professional (CCNP), CompTIA Security+, Cisco Certified Network Associate (CCNA)",Engineering,9503,Full-Time,Software Engineer,On Leave,Erin Long,"['SQL', 'JavaScript', 'Java']","['Java Fundamentals', 'Advanced Python Techniques', 'JavaScript Essentials']"
"Certified Information Systems Security Professional (CISSP), CompTIA A+, CompTIA Network+, CompTIA Security+",Engineering,8054,Full-Time,Software Engineer,Resigned,Christine Benton,"['JavaScript', 'Java']",[]
"Certified Information Systems Security Professional (CISSP), CompTIA A+, CompTIA Security+",Engineering,1054,Intern,Software Engineer,On Leave,Patrick Austin,"['Java', 'SQL', 'Git', 'Python', 'JavaScript']","['Introduction to Python Programming', 'Java Fundamentals']"
"Certified Information Systems Security Professional (CISSP), CompTIA A+, CompTIA Security+",Engineering,4812,Full-Time,Software Engineer,Active,Ian Compton,"['JavaScript', 'Git', 'SQL', 'Python']","['Java Fundamentals', 'Git Version Control']"
"Certified Information Systems Security Professional (CISSP), CompTIA A+, CompTIA Security+",Engineering,5887,Intern,Software Engineer,Resigned,Angelica Matthews,"['Python', 'JavaScript', 'Java']","['JavaScript Essentials', 'Git Version Control', 'Advanced Python Techniques']"
"Certified Information Systems Security Professional (CISSP), CompTIA A+, CompTIA Security+",Engineering,7296,Part-Time,Software Engineer,Resigned,Kathleen Vasquez,['Git'],[]
"Certified Information Systems Security Professional (CISSP), CompTIA A+, CompTIA Security+, Cisco Certified Network Professional (CCNP)",Engineering,2322,Full-Time,Software Engineer,Resigned,Tracy Perez,"['JavaScript', 'Java', 'SQL', 'Git']","['SQL Mastery', 'Advanced Python Techniques']"
"Certified Information Systems Security Professional (CISSP), CompTIA A+, CompTIA Security+, Cisco Certified Network Professional (CCNP), Cisco Certified Network Associate (CCNA), CompTIA Network+",Engineering,2546,Full-Time,Software Engineer,Resigned,Charles Davis,"['SQL', 'Git', 'Python']",[]
"Certified Information Systems Security Professional (CISSP), CompTIA A+, CompTIA Security+, CompTIA Network+, Cisco Certified Network Associate (CCNA)",Engineering,7315,Intern,Software Engineer,On Leave,Autumn Blackburn,['Python'],['Git Version Control']
"Certified Information Systems Security Professional (CISSP), CompTIA Network+",Engineering,251,Full-Time,Software Engineer,Resigned,Gloria Grant,"['Git', 'SQL', 'Python']","['Java Fundamentals', 'SQL Mastery']"
"Certified Information Systems Security Professional (CISSP), CompTIA Network+",Engineering,3613,Full-Time,Software Engineer,Resigned,Laura Martin,"['Git', 'SQL', 'Java']",['Java Fundamentals']
"Certified Information Systems Security Professional (CISSP), CompTIA Network+",Engineering,4539,Intern,Software Engineer,Resigned,Elizabeth Moore,"['Java', 'SQL', 'Git', 'JavaScript', 'Python']",[]
"Certified Information Systems Security Professional (CISSP), CompTIA Network+",Engineering,5103,Part-Time,Software Engineer,Resigned,Kathy Thompson,"['SQL', 'Python', 'JavaScript', 'Java', 'Git']",[]
"Certified Information Systems Security Professional (CISSP), CompTIA Network+",Engineering,6047,Full-Time,Software Engineer,Active,Susan Reyes,['Python'],[]
"Certified Information Systems Security Professional (CISSP), CompTIA Network+",Engineering,6372,Full-Time,Software Engineer,Resigned,Sabrina Fox,"['SQL', 'Git']",[]
"Certified Information Systems Security Professional (CISSP), CompTIA Network+",Engineering,6979,Full-Time,Software Engineer,On Leave,Tony Church,"['JavaScript', 'SQL', 'Git', 'Python', 'Java']","['Git Version Control', 'Introduction to Python Programming', 'JavaScript Essentials']"
"Certified Information Systems Security Professional (CISSP), CompTIA Network+, Cisco Certified Network Associate (CCNA)",Engineering,6986,Full-Time,Software Engineer,Active,Tina Hubbard,"['Java', 'Python', 'Git']",['JavaScript Essentials']
"Certified Information Systems Security Professional (CISSP), CompTIA Network+, Cisco Certified Network Associate (CCNA), Cisco Certified Network Professional (CCNP), CompTIA Security+, CompTIA A+",Engineering,7535,Intern,Software Engineer,On Leave,Christopher Rush,"['SQL', 'Java', 'Git', 'JavaScript']",['Advanced Python Techniques']
"Certified Information Systems Security Professional (CISSP), CompTIA Network+, Cisco Certified Network Associate (CCNA), CompTIA A+, CompTIA Security+",Engineering,3166,Intern,Software Engineer,Resigned,Julie Wilson,"['JavaScript', 'Python']",['JavaScript Essentials']
"Certified Information Systems Security Professional (CISSP), CompTIA Network+, Cisco Certified Network Associate (CCNA), CompTIA A+, CompTIA Security+",Engineering,8375,Intern,Software Engineer,Active,Neil Mccall,"['SQL', 'Git']","['Git Version Control', 'Advanced Python Techniques', 'SQL Mastery']"
"Certified Information Systems Security Professional (CISSP), CompTIA Network+, Cisco Certified Network Associate (CCNA), CompTIA Security+, CompTIA A+",Engineering,6517,Full-Time,Software Engineer,Active,Mario Cook,"['SQL', 'Python', 'Git']",[]
"Certified Information Systems Security Professional (CISSP), CompTIA Network+, Cisco Certified Network Professional (CCNP), CompTIA Security+, CompTIA A+",Engineering,2323,Full-Time,Software Engineer,Resigned,Katherine Brown,"['Python', 'Git', 'JavaScript']",['Introduction to Python Programming']
"Certified Information Systems Security Professional (CISSP), CompTIA Network+, CompTIA A+",Engineering,2720,Intern,Software Engineer,On Leave,Jennifer Hooper,['Java'],"['Introduction to Python Programming', 'Java Fundamentals']"
"Certified Information Systems Security Professional (CISSP), CompTIA Network+, CompTIA A+",Engineering,4587,Full-Time,Software Engineer,On Leave,Ralph Williams,"['Git', 'SQL', 'Java']","['Git Version Control', 'JavaScript Essentials', 'Advanced Python Techniques']"
"Certified Information Systems Security Professional (CISSP), CompTIA Network+, CompTIA A+",Engineering,5198,Intern,Software Engineer,Active,Michael Gordon,"['Python', 'Java']","['Introduction to Python Programming', 'SQL Mastery']"
"Certified Information Systems Security Professional (CISSP), CompTIA Network+, CompTIA A+",Engineering,8049,Intern,Software Engineer,Active,Ms. Christina Garcia,"['JavaScript', 'Python', 'SQL']","['Advanced Python Techniques', 'Introduction to Python Programming', 'Java Fundamentals']"
"Certified Information Systems Security Professional (CISSP), CompTIA Network+, CompTIA A+, Cisco Certified Network Professional (CCNP), Cisco Certified Network Associate (CCNA)",Engineering,3666,Full-Time,Software Engineer,On Leave,Justin Torres,"['Python', 'Git', 'JavaScript']",[]
"Certified Information Systems Security Professional (CISSP), CompTIA Network+, CompTIA A+, Cisco Certified Network Professional (CCNP), CompTIA Security+",Engineering,7995,Full-Time,Software Engineer,Active,Theresa Aguilar,"['Java', 'JavaScript', 'SQL', 'Git']",['Git Version Control']
"Certified Information Systems Security Professional (CISSP), CompTIA Network+, CompTIA A+, CompTIA Security+",Engineering,6014,Intern,Software Engineer,Active,Timothy Sellers,"['SQL', 'Python', 'JavaScript', 'Git', 'Java']","['SQL Mastery', 'Java Fundamentals', 'JavaScript Essentials']"
"Certified Information Systems Security Professional (CISSP), CompTIA Network+, CompTIA Security+, Cisco Certified Network Associate (CCNA), Cisco Certified Network Professional (CCNP), CompTIA A+",Engineering,9440,Intern,Software Engineer,On Leave,Kevin White,"['Git', 'Java', 'Python']","['JavaScript Essentials', 'Advanced Python Techniques']"
"Certified Information Systems Security Professional (CISSP), CompTIA Network+, CompTIA Security+, Cisco Certified Network Associate (CCNA), CompTIA A+",Engineering,7170,Full-Time,Software Engineer,Active,Brittany Hampton,"['Python', 'Java']",['Advanced Python Techniques']
"Certified Information Systems Security Professional (CISSP), CompTIA Network+, CompTIA Security+, Cisco Certified Network Associate (CCNA), CompTIA A+, Cisco Certified Network Professional (CCNP)",Engineering,8653,Intern,Software Engineer,Resigned,Danny Cruz,"['SQL', 'Git']","['JavaScript Essentials', 'SQL Mastery', 'Java Fundamentals']"
"Certified Information Systems Security Professional (CISSP), CompTIA Network+, CompTIA Security+, Cisco Certified Network Professional (CCNP), Cisco Certified Network Associate (CCNA)",Engineering,3584,Full-Time,Software Engineer,On Leave,Rebecca Smith,"['Java', 'JavaScript', 'Python']",['Introduction to Python Programming']
"Certified Information Systems Security Professional (CISSP), CompTIA Network+, CompTIA Security+, Cisco Certified Network Professional (CCNP), CompTIA A+",Engineering,3013,Part-Time,Software Engineer,On Leave,Timothy Wade,['Git'],[]
"Certified Information Systems Security Professional (CISSP), CompTIA Network+, CompTIA Security+, CompTIA A+, Cisco Certified Network Associate (CCNA), Cisco Certified Network Professional (CCNP)",Engineering,6706,Intern,Software Engineer,Active,Jennifer Harris,"['Java', 'JavaScript', 'Python', 'SQL', 'Git']","['Advanced Python Techniques', 'Introduction to Python Programming', 'Java Fundamentals']"
"Certified Information Systems Security Professional (CISSP), CompTIA Security+",Engineering,1368,Full-Time,Software Engineer,On Leave,Mark Coleman,"['JavaScript', 'Python', 'Java', 'Git', 'SQL']",['Java Fundamentals']
"Certified Information Systems Security Professional (CISSP), CompTIA Security+",Engineering,3296,Part-Time,Software Engineer,Resigned,Kayla Fletcher,"['Git', 'Java']",[]
"Certified Information Systems Security Professional (CISSP), CompTIA Security+",Engineering,8918,Intern,Software Engineer,On Leave,Zachary Miller,"['Python', 'Git', 'JavaScript', 'Java', 'SQL']",['Git Version Control']
"Certified Information Systems Security Professional (CISSP), CompTIA Security+",Engineering,9471,Full-Time,Software Engineer,Resigned,Brian Santiago,"['Java', 'JavaScript', 'Python', 'Git']","['Introduction to Python Programming', 'SQL Mastery']"
"Certified Information Systems Security Professional (CISSP), CompTIA Security+, Cisco Certified Network Associate (CCNA)",Engineering,6943,Full-Time,Software Engineer,Resigned,Laura Evans,"['Git', 'SQL', 'Python', 'JavaScript']",['JavaScript Essentials']
"Certified Information Systems Security Professional (CISSP), CompTIA Security+, Cisco Certified Network Professional (CCNP)",Engineering,1951,Full-Time,Software Engineer,Resigned,Jesus Gonzalez,"['SQL', 'JavaScript', 'Git', 'Python']","['Java Fundamentals', 'Introduction to Python Programming']"
"Certified Information Systems Security Professional (CISSP), CompTIA Security+, Cisco Certified Network Professional (CCNP), Cisco Certified Network Associate (CCNA)",Engineering,9536,Full-Time,Software Engineer,Resigned,Barbara Williams,"['Java', 'JavaScript']","['Advanced Python Techniques', 'Git Version Control']"
"Certified Information Systems Security Professional (CISSP), CompTIA Security+, Cisco Certified Network Professional (CCNP), Cisco Certified Network Associate (CCNA), CompTIA A+, CompTIA Network+",Engineering,2991,Full-Time,Software Engineer,Resigned,Julia Bender,"['Git', 'Java', 'Python', 'SQL', 'JavaScript']","['Advanced Python Techniques', 'SQL Mastery']"
"Certified Information Systems Security Professional (CISSP), CompTIA Security+, Cisco Certified Network Professional (CCNP), Cisco Certified Network Associate (CCNA), CompTIA Network+, CompTIA A+",Engineering,9766,Intern,Software Engineer,Active,Carla Anderson,"['Python', 'Git']",['JavaScript Essentials']
"Certified Information Systems Security Professional (CISSP), CompTIA Security+, Cisco Certified Network Professional (CCNP), CompTIA A+, CompTIA Network+",Engineering,5000,Full-Time,Software Engineer,Resigned,Kimberly Jordan,"['Python', 'SQL']",[]
"Certified Information Systems Security Professional (CISSP), CompTIA Security+, Cisco Certified Network Professional (CCNP), CompTIA Network+, CompTIA A+",Engineering,3504,Intern,Software Engineer,On Leave,Sheena Green,['JavaScript'],['Introduction to Python Programming']
"Certified Information Systems Security Professional (CISSP), CompTIA Security+, CompTIA A+, Cisco Certified Network Professional (CCNP), Cisco Certified Network Associate (CCNA), CompTIA Network+",Engineering,6878,Intern,Software Engineer,Resigned,Cassandra Gordon,"['Git', 'JavaScript', 'Java', 'SQL', 'Python']","['Git Version Control', 'JavaScript Essentials', 'Java Fundamentals']"
"Certified Information Systems Security Professional (CISSP), CompTIA Security+, CompTIA A+, Cisco Certified Network Professional (CCNP), CompTIA Network+",Engineering,4836,Full-Time,Software Engineer,On Leave,Danielle Mitchell,"['Java', 'JavaScript', 'Git']","['Java Fundamentals', 'Advanced Python Techniques', 'Git Version Control']"
"Certified Information Systems Security Professional (CISSP), CompTIA Security+, CompTIA A+, Cisco Certified Network Professional (CCNP), CompTIA Network+, Cisco Certified Network Associate (CCNA)",Engineering,2316,Full-Time,Software Engineer,Resigned,Alan Jackson,"['Git', 'SQL', 'Java']","['SQL Mastery', 'Git Version Control']"
"Certified Information Systems Security Professional (CISSP), CompTIA Security+, CompTIA Network+",Engineering,1102,Full-Time,Software Engineer,Resigned,Scott Clark,"['Python', 'Java']",[]
"Certified Information Systems Security Professional (CISSP), CompTIA Security+, CompTIA Network+, Cisco Certified Network Associate (CCNA)",Engineering,7311,Full-Time,Software Engineer,Active,Jennifer Lloyd,"['SQL', 'Java']",[]
"Certified Information Systems Security Professional (CISSP), CompTIA Security+, CompTIA Network+, Cisco Certified Network Associate (CCNA)",Engineering,9904,Intern,Software Engineer,On Leave,Donna Wilson,['Git'],"['JavaScript Essentials', 'SQL Mastery', 'Git Version Control']"
"Certified Information Systems Security Professional (CISSP), CompTIA Security+, CompTIA Network+, Cisco Certified Network Associate (CCNA), CompTIA A+",Engineering,3810,Full-Time,Software Engineer,Active,Ashley Delgado MD,"['Python', 'Git', 'JavaScript', 'Java']",[]
"Certified Information Systems Security Professional (CISSP), CompTIA Security+, CompTIA Network+, Cisco Certified Network Professional (CCNP)",Engineering,2750,Full-Time,Software Engineer,On Leave,Melissa Burgess,"['Java', 'Git', 'JavaScript', 'SQL']",[]
"Certified Information Systems Security Professional (CISSP), CompTIA Security+, CompTIA Network+, Cisco Certified Network Professional (CCNP)",Engineering,6376,Full-Time,Software Engineer,Active,James Rodriguez,['Java'],"['JavaScript Essentials', 'Advanced Python Techniques']"
"Certified Information Systems Security Professional (CISSP), CompTIA Security+, CompTIA Network+, Cisco Certified Network Professional (CCNP), CompTIA A+",Engineering,3723,Full-Time,Software Engineer,On Leave,Jessica Hamilton,"['Java', 'SQL', 'Git']","['Advanced Python Techniques', 'Git Version Control', 'Introduction to Python Programming']"
"Certified Information Systems Security Professional (CISSP), CompTIA Security+, CompTIA Network+, CompTIA A+, Cisco Certified Network Professional (CCNP), Cisco Certified Network Associate (CCNA)",Engineering,3338,Full-Time,Software Engineer,On Leave,Jackie Robinson,"['JavaScript', 'Git', 'SQL']",[]
"Certified Information Systems Security Professional (CISSP), CompTIA Security+, CompTIA Network+, CompTIA A+, Cisco Certified Network Professional (CCNP), Cisco Certified Network Associate (CCNA)",Engineering,5119,Full-Time,Software Engineer,Active,Miguel Jones,"['Java', 'Git']",[]
Certified Public Accountant (CPA),Finance,321,Intern,Financial Analyst,On Leave,Amanda Wilcox,"['Data Analysis', 'Budgeting', 'Financial Modeling', 'Excel', 'Financial Reporting']","['Budgeting and Forecasting Methods', 'Financial Modeling Techniques', 'Excel for Finance']"
Certified Public Accountant (CPA),Finance,666,Full-Time,Financial Analyst,Active,Jason Williams,['Data Analysis'],['Data Analysis for Finance Professionals']
Certified Public Accountant (CPA),Finance,724,Full-Time,Financial Analyst,On Leave,Jonathan Richards,['Financial Reporting'],['Financial Reporting Standards']
Certified Public Accountant (CPA),Finance,727,Intern,Financial Analyst,Resigned,Christina Thornton,['Financial Modeling'],"['Budgeting and Forecasting Methods', 'Excel for Finance']"
Certified Public Accountant (CPA),Finance,804,Full-Time,Financial Analyst,Active,Sheila Wright,"['Data Analysis', 'Financial Reporting', 'Financial Modeling', 'Excel', 'Budgeting']","['Financial Modeling Techniques', 'Budgeting and Forecasting Methods']"
Certified Public Accountant (CPA),Finance,1231,Part-Time,Financial Analyst,On Leave,Paul White,"['Excel', 'Data Analysis']",['Data Analysis for Finance Professionals']
Certified Public Accountant (CPA),Finance,1238,Full-Time,Financial Analyst,On Leave,Adam Jones,"['Excel', 'Data Analysis']","['Data Analysis for Finance Professionals', 'Financial Modeling Techniques']"
Certified Public Accountant (CPA),Finance,1621,Full-Time,Financial Analyst,On Leave,Victor Stewart,"['Financial Modeling', 'Financial Reporting', 'Excel', 'Data Analysis', 'Budgeting']",['Data Analysis for Finance Professionals']
Certified Public Accountant (CPA),Finance,1723,Full-Time,Financial Analyst,Active,Brian Ewing,"['Financial Modeling', 'Budgeting', 'Data Analysis']","['Financial Modeling Techniques', 'Excel for Finance']"
Certified Public Accountant (CPA),Finance,1842,Intern,Financial Analyst,On Leave,Jamie James,"['Budgeting', 'Financial Reporting']","['Excel for Finance', 'Budgeting and Forecasting Methods']"
Certified Public Accountant (CPA),Finance,2049,Full-Time,Financial Analyst,Active,Jennifer Roberts,['Data Analysis'],"['Excel for Finance', 'Data Analysis for Finance Professionals']"
Certified Public Accountant (CPA),Finance,2256,Full-Time,Financial Analyst,Active,Erica Russell,"['Budgeting', 'Excel', 'Financial Modeling', 'Data Analysis']",[]
Certified Public Accountant (CPA),Finance,2438,Full-Time,Financial Analyst,Resigned,Tanya Cook,"['Financial Reporting', 'Data Analysis', 'Financial Modeling', 'Excel', 'Budgeting']",['Budgeting and Forecasting Methods']
Certified Public Accountant (CPA),Finance,2860,Part-Time,Financial Analyst,Resigned,Robert Koch,"['Data Analysis', 'Financial Modeling']","['Data Analysis for Finance Professionals', 'Financial Modeling Techniques']"
Certified Public Accountant (CPA),Finance,3029,Intern,Financial Analyst,On Leave,Wanda Malone,['Data Analysis'],"['Financial Reporting Standards', 'Budgeting and Forecasting Methods']"
Certified Public Accountant (CPA),Finance,3126,Full-Time,Financial Analyst,Resigned,Kevin Cole,['Financial Modeling'],"['Data Analysis for Finance Professionals', 'Financial Reporting Standards', 'Budgeting and Forecasting Methods']"
Certified Public Accountant (CPA),Finance,3289,Full-Time,Financial Analyst,Resigned,David Jones,"['Financial Reporting', 'Excel', 'Budgeting', 'Financial Modeling']",['Data Analysis for Finance Professionals']
Certified Public Accountant (CPA),Finance,3398,Full-Time,Financial Analyst,Resigned,Amy Ward,"['Excel', 'Financial Modeling', 'Financial Reporting']",['Financial Modeling Techniques']
Certified Public Accountant (CPA),Finance,4045,Intern,Financial Analyst,Resigned,Sharon Mendez DVM,"['Financial Modeling', 'Excel']",['Financial Reporting Standards']
Certified Public Accountant (CPA),Finance,4464,Intern,Financial Analyst,Active,Dennis Wolfe,"['Excel', 'Budgeting', 'Financial Modeling', 'Financial Reporting']",['Excel for Finance']
Certified Public Accountant (CPA),Finance,4469,Intern,Financial Analyst,Active,Kevin Schmidt,"['Financial Modeling', 'Excel']","['Data Analysis for Finance Professionals', 'Budgeting and Forecasting Methods']"
Certified Public Accountant (CPA),Finance,4682,Intern,Financial Analyst,On Leave,Erin Watson,"['Budgeting', 'Financial Reporting', 'Financial Modeling']","['Excel for Finance', 'Data Analysis for Finance Professionals']"
Certified Public Accountant (CPA),Finance,4966,Full-Time,Financial Analyst,Resigned,Jennifer Lee,"['Financial Modeling', 'Excel', 'Budgeting', 'Data Analysis']","['Data Analysis for Finance Professionals', 'Financial Modeling Techniques']"
Certified Public Accountant (CPA),Finance,5337,Full-Time,Financial Analyst,Active,Brandon Ford,['Excel'],[]
Certified Public Accountant (CPA),Finance,5383,Full-Time,Financial Analyst,Resigned,Heidi Hernandez,['Financial Reporting'],"['Excel for Finance', 'Financial Reporting Standards', 'Financial Modeling Techniques']"
Certified Public Accountant (CPA),Finance,5810,Intern,Financial Analyst,Active,Miss Debra Knapp,"['Excel', 'Financial Modeling', 'Financial Reporting', 'Data Analysis', 'Budgeting']","['Excel for Finance', 'Budgeting and Forecasting Methods', 'Financial Reporting Standards']"
Certified Public Accountant (CPA),Finance,5885,Full-Time,Financial Analyst,On Leave,Gina Noble,"['Financial Modeling', 'Excel', 'Data Analysis', 'Budgeting']","['Budgeting and Forecasting Methods', 'Financial Reporting Standards']"
Certified Public Accountant (CPA),Finance,6098,Intern,Financial Analyst,Active,Jose Baker,"['Financial Reporting', 'Budgeting']",['Budgeting and Forecasting Methods']
Certified Public Accountant (CPA),Finance,6361,Intern,Financial Analyst,On Leave,Dr. Angela Park DVM,"['Data Analysis', 'Financial Reporting']",[]
Certified Public Accountant (CPA),Finance,6527,Full-Time,Financial Analyst,Resigned,Joseph Roberson,['Financial Reporting'],['Financial Reporting Standards']
Certified Public Accountant (CPA),Finance,6610,Full-Time,Financial Analyst,On Leave,Victor Richardson,"['Financial Reporting', 'Data Analysis', 'Budgeting', 'Excel', 'Financial Modeling']","['Data Analysis for Finance Professionals', 'Excel for Finance']"
Certified Public Accountant (CPA),Finance,6654,Full-Time,Financial Analyst,Active,Tracie Burton,"['Data Analysis', 'Financial Reporting', 'Excel', 'Financial Modeling', 'Budgeting']","['Excel for Finance', 'Financial Modeling Techniques']"
Certified Public Accountant (CPA),Finance,6660,Full-Time,Financial Analyst,On Leave,Thomas Parker,"['Financial Modeling', 'Financial Reporting', 'Excel', 'Data Analysis', 'Budgeting']","['Financial Reporting Standards', 'Data Analysis for Finance Professionals', 'Budgeting and Forecasting Methods']"
Certified Public Accountant (CPA),Finance,6693,Full-Time,Financial Analyst,Resigned,John Wilson,"['Budgeting', 'Financial Reporting']","['Excel for Finance', 'Data Analysis for Finance Professionals']"
Certified Public Accountant (CPA),Finance,6801,Full-Time,Financial Analyst,Resigned,Kevin Wagner,"['Budgeting', 'Data Analysis', 'Financial Modeling', 'Excel', 'Financial Reporting']",[]
Certified Public Accountant (CPA),Finance,7013,Full-Time,Financial Analyst,Resigned,Jonathan Strong,"['Financial Modeling', 'Excel', 'Financial Reporting', 'Budgeting', 'Data Analysis']",['Excel for Finance']
Certified Public Accountant (CPA),Finance,7273,Full-Time,Financial Analyst,Active,Kelly Brown,"['Excel', 'Budgeting', 'Financial Reporting', 'Financial Modeling']","['Budgeting and Forecasting Methods', 'Financial Modeling Techniques']"
Certified Public Accountant (CPA),Finance,7905,Part-Time,Financial Analyst,Resigned,Adam Livingston,"['Data Analysis', 'Budgeting', 'Financial Modeling', 'Financial Reporting', 'Excel']","['Budgeting and Forecasting Methods', 'Financial Modeling Techniques']"
Certified Public Accountant (CPA),Finance,8338,Intern,Financial Analyst,On Leave,Francisco Smith,"['Financial Reporting', 'Excel', 'Budgeting', 'Data Analysis']",[]
Certified Public Accountant (CPA),Finance,8474,Full-Time,Financial Analyst,Resigned,Dawn Frazier,"['Data Analysis', 'Excel']","['Budgeting and Forecasting Methods', 'Financial Modeling Techniques']"
Certified Public Accountant (CPA),Finance,8894,Full-Time,Financial Analyst,On Leave,Jessica Jones,['Financial Reporting'],"['Excel for Finance', 'Financial Modeling Techniques', 'Financial Reporting Standards']"
Certified Public Accountant (CPA),Finance,8954,Intern,Financial Analyst,Active,Kyle Brown,"['Data Analysis', 'Financial Reporting', 'Excel', 'Budgeting', 'Financial Modeling']",['Financial Reporting Standards']
Certified Public Accountant (CPA),Finance,9155,Full-Time,Financial Analyst,Active,Billy Carter,['Financial Reporting'],"['Data Analysis for Finance Professionals', 'Excel for Finance']"
Certified Public Accountant (CPA),Finance,9191,Full-Time,Financial Analyst,Resigned,Austin Jones,"['Excel', 'Financial Modeling', 'Budgeting', 'Financial Reporting']",[]
Certified Public Accountant (CPA),Finance,9463,Intern,Financial Analyst,Resigned,Kristina Martinez,"['Financial Modeling', 'Budgeting', 'Financial Reporting', 'Excel', 'Data Analysis']","['Financial Modeling Techniques', 'Financial Reporting Standards']"
Certified Public Accountant (CPA),Finance,9572,Full-Time,Financial Analyst,On Leave,Gregory Brown,['Excel'],[]
Certified Public Accountant (CPA),Finance,9971,Full-Time,Financial Analyst,On Leave,John Callahan,"['Financial Reporting', 'Excel', 'Financial Modeling', 'Budgeting', 'Data Analysis']",[]
"Certified Public Accountant (CPA), Certified Financial Planner (CFP)",Finance,52,Full-Time,Financial Analyst,Resigned,John Howard,"['Budgeting', 'Financial Modeling', 'Data Analysis', 'Financial Reporting']","['Excel for Finance', 'Data Analysis for Finance Professionals', 'Financial Modeling Techniques']"
"Certified Public Accountant (CPA), Certified Financial Planner (CFP)",Finance,82,Full-Time,Financial Analyst,Resigned,Savannah Gordon,"['Data Analysis', 'Financial Modeling', 'Budgeting', 'Excel', 'Financial Reporting']","['Financial Reporting Standards', 'Data Analysis for Finance Professionals', 'Financial Modeling Techniques']"
"Certified Public Accountant (CPA), Certified Financial Planner (CFP)",Finance,224,Full-Time,Financial Analyst,Active,Patrick Stephens,"['Excel', 'Data Analysis', 'Financial Modeling', 'Budgeting', 'Financial Reporting']","['Financial Reporting Standards', 'Excel for Finance', 'Data Analysis for Finance Professionals']"
"Certified Public Accountant (CPA), Certified Financial Planner (CFP)",Finance,1034,Intern,Financial Analyst,Active,Gabriel Long,"['Data Analysis', 'Excel']",['Data Analysis for Finance Professionals']
"Certified Public Accountant (CPA), Certified Financial Planner (CFP)",Finance,1306,Full-Time,Financial Analyst,Resigned,Robert Anderson,"['Excel', 'Budgeting', 'Financial Reporting', 'Data Analysis']","['Financial Modeling Techniques', 'Data Analysis for Finance Professionals']"
"Certified Public Accountant (CPA), Certified Financial Planner (CFP)",Finance,2024,Intern,Financial Analyst,On Leave,Raymond Rogers,"['Financial Reporting', 'Financial Modeling']",['Budgeting and Forecasting Methods']
"Certified Public Accountant (CPA), Certified Financial Planner (CFP)",Finance,2593,Part-Time,Financial Analyst,Resigned,Robert Murphy,"['Budgeting', 'Financial Modeling', 'Financial Reporting', 'Data Analysis', 'Excel']",['Financial Reporting Standards']
"Certified Public Accountant (CPA), Certified Financial Planner (CFP)",Finance,2773,Part-Time,Financial Analyst,On Leave,Stacy Allen,"['Budgeting', 'Data Analysis', 'Financial Modeling', 'Excel']",['Financial Modeling Techniques']
"Certified Public Accountant (CPA), Certified Financial Planner (CFP)",Finance,3003,Intern,Financial Analyst,Active,Louis Turner,"['Financial Reporting', 'Financial Modeling', 'Excel', 'Budgeting', 'Data Analysis']",['Financial Modeling Techniques']
"Certified Public Accountant (CPA), Certified Financial Planner (CFP)",Finance,3211,Full-Time,Financial Analyst,On Leave,Ryan Beck,"['Financial Modeling', 'Data Analysis', 'Excel']",[]
"Certified Public Accountant (CPA), Certified Financial Planner (CFP)",Finance,3746,Part-Time,Financial Analyst,Active,Taylor Johnson,"['Data Analysis', 'Financial Modeling', 'Budgeting', 'Excel']","['Financial Modeling Techniques', 'Data Analysis for Finance Professionals']"
"Certified Public Accountant (CPA), Certified Financial Planner (CFP)",Finance,4783,Full-Time,Financial Analyst,On Leave,Jorge Murphy,"['Budgeting', 'Excel', 'Financial Reporting', 'Data Analysis', 'Financial Modeling']",[]
"Certified Public Accountant (CPA), Certified Financial Planner (CFP)",Finance,4885,Intern,Financial Analyst,On Leave,Michael Washington,"['Financial Reporting', 'Excel', 'Budgeting', 'Data Analysis', 'Financial Modeling']","['Excel for Finance', 'Data Analysis for Finance Professionals', 'Budgeting and Forecasting Methods']"
"Certified Public Accountant (CPA), Certified Financial Planner (CFP)",Finance,6254,Intern,Financial Analyst,Resigned,Aaron Lucas,"['Financial Reporting', 'Data Analysis', 'Budgeting']",['Budgeting and Forecasting Methods']
"Certified Public Accountant (CPA), Certified Financial Planner (CFP)",Finance,7050,Full-Time,Financial Analyst,On Leave,Linda Aguilar,['Financial Modeling'],"['Excel for Finance', 'Budgeting and Forecasting Methods', 'Financial Modeling Techniques']"
"Certified Public Accountant (CPA), Certified Financial Planner (CFP)",Finance,7480,Full-Time,Financial Analyst,Active,Caitlin Powell,"['Data Analysis', 'Financial Reporting', 'Financial Modeling']","['Financial Reporting Standards', 'Data Analysis for Finance Professionals']"
"Certified Public Accountant (CPA), Certified Financial Planner (CFP)",Finance,8469,Full-Time,Financial Analyst,On Leave,Edward Adams,['Budgeting'],"['Excel for Finance', 'Data Analysis for Finance Professionals', 'Financial Reporting Standards']"
